2021-07-11 06:01:37 status unpacked libcap-ng0:amd64 0.7.9-2
2021-07-11 06:01:37 install libffi6:amd64 <none> 3.2.1-9
2021-07-11 06:01:37 status half-installed libffi6:amd64 3.2.1-9
2021-07-11 06:01:38 status unpacked libffi6:amd64 3.2.1-9
2021-07-11 06:01:38 install libgcrypt20:amd64 <none> 1.8.4-5+deb10u1
2021-07-11 06:01:38 status half-installed libgcrypt20:amd64 1.8.4-5+deb10u1
2021-07-11 06:01:40 status unpacked libgcrypt20:amd64 1.8.4-5+deb10u1
2021-07-11 06:01:41 install libgpg-error0:amd64 <none> 1.35-1
2021-07-11 06:01:41 status half-installed libgpg-error0:amd64 1.35-1
2021-07-11 06:01:42 status unpacked libgpg-error0:amd64 1.35-1
2021-07-11 06:01:43 install libidn2-0:amd64 <none> 2.0.5-1+deb10u1
2021-07-11 06:01:43 status half-installed libidn2-0:amd64 2.0.5-1+deb10u1
2021-07-11 06:01:46 status unpacked libidn2-0:amd64 2.0.5-1+deb10u1
2021-07-11 06:01:47 install libseccomp2:amd64 <none> 2.3.3-4
2021-07-11 06:01:47 status half-installed libseccomp2:amd64 2.3.3-4
2021-07-11 06:01:48 status unpacked libseccomp2:amd64 2.3.3-4
2021-07-11 06:01:48 install libselinux1:amd64 <none> 2.8-1+b1
2021-07-11 06:01:48 status half-installed libselinux1:amd64 2.8-1+b1
2021-07-11 06:01:49 status unpacked libselinux1:amd64 2.8-1+b1
2021-07-11 06:01:50 install libsemanage-common:all <none> 2.8-2
2021-07-11 06:01:50 status half-installed libsemanage-common:all 2.8-2
2021-07-11 06:01:50 status unpacked libsemanage-common:all 2.8-2
2021-07-11 06:01:51 install libsemanage1:amd64 <none> 2.8-2
2021-07-11 06:01:51 status half-installed libsemanage1:amd64 2.8-2
2021-07-11 06:01:52 status unpacked libsemanage1:amd64 2.8-2
2021-07-11 06:01:53 install libsepol1:amd64 <none> 2.8-1
2021-07-11 06:01:53 status half-installed libsepol1:amd64 2.8-1
2021-07-11 06:01:53 status unpacked libsepol1:amd64 2.8-1
2021-07-11 06:01:54 install libtasn1-6:amd64 <none> 4.13-3
2021-07-11 06:01:54 status half-installed libtasn1-6:amd64 4.13-3
2021-07-11 06:01:55 status unpacked libtasn1-6:amd64 4.13-3
2021-07-11 06:01:56 install libunistring2:amd64 <none> 0.9.10-1
2021-07-11 06:01:56 status half-installed libunistring2:amd64 0.9.10-1
2021-07-11 06:01:56 status unpacked libunistring2:amd64 0.9.10-1
2021-07-11 06:01:57 install libzstd1:amd64 <none> 1.3.8+dfsg-3+deb10u2
2021-07-11 06:01:57 status half-installed libzstd1:amd64 1.3.8+dfsg-3+deb10u2
2021-07-11 06:01:58 status unpacked libzstd1:amd64 1.3.8+dfsg-3+deb10u2
2021-07-11 06:01:59 install liblz4-1:amd64 <none> 1.8.3-1+deb10u1
2021-07-11 06:01:59 status half-installed liblz4-1:amd64 1.8.3-1+deb10u1
